title,description,source,published,sector,sentiment,sentiment_confidence,impact_score,valence,arousal,geopolitical_risk,affected_companies,one_line_insight,sentiment_num,weighted_risk_score,z_score,shock_status,run_date
"BMG sues Anthropic for using Bruno Mars, Rolling Stones lyrics in AI training",Music company BMG Rights Management has sued AI startup Anthropic. The lawsuit claims Anthropic used copyrighted song lyrics to train its AI chatbots. This is one of many lawsuits against tech companies for using creative works. Anthropic previously settled a similar case with authors. The music industry is taking legal action over AI training data.,Tech-Economic Times,"Wed, 18 Mar 2026 21:44:08 +0530",Startup,negative,0.85,6,0.2,0.7,False,"['Anthropic', 'BMG Rights Management']",The lawsuit against Anthropic highlights the growing legal challenges faced by AI startups in using copyrighted material.,-1,54.0,0.0,Normal,2026-03-18
Google to allow AI opt-out to ease UK competition concerns,Google is creating new search controls. Websites can now choose to avoid its generative AI features. This move addresses concerns from Britain's competition regulator about Google's search dominance. The company also plans simpler ways for users to change their default search engine. This aims to boost competition and user choice in the UK search market.,Tech-Economic Times,"Wed, 18 Mar 2026 21:17:58 +0530",IT,positive,0.85,7,0.7,0.5,False,['Google'],Google's proactive measures to enhance competition could positively influence its market perception.,1,0.0,0.0,Normal,2026-03-18
Karnataka taps Japan for Bengaluru smart city development,"Karnataka plans to explore collaboration with Japan on smart city initiatives in Bengaluru. The proposed model will enable Japanese companies to partner with cities globally to design and implement solutions for urban challenges, backed by government support, according to a statement from the state’s IT/BT department.",Tech-Economic Times,"Wed, 18 Mar 2026 21:11:45 +0530",Other,positive,0.85,7,0.8,0.6,False,[],Karnataka's collaboration with Japan could enhance urban development and attract foreign investment.,1,0.0,0.74,Normal,2026-03-18
X outage: Users report issues with app and website access,"X outage: Downdetector reported that more than 3,836 outage reports were logged on Tuesday evening in India, with a spike in complaints around 8:24 PM.",Tech-Economic Times,"Wed, 18 Mar 2026 20:44:39 +0530",IT,negative,0.85,7,0.1,0.8,False,['X'],The significant outage reported could lead to user dissatisfaction and potential revenue impact for X.,-1,84.0,0.0,Normal,2026-03-18
Govt sets up strategic partnerships with global tech companies for IICT,"India is boosting its creative technology sector. The government has partnered with global tech firms to support the Indian Institute of Creative Technologies. This initiative aims to enhance skills and foster innovation in animation, VFX, gaming, and more. The WAVES Bazaar platform will connect Indian creators with global markets.",Tech-Economic Times,"Wed, 18 Mar 2026 20:36:29 +0530",IT,positive,0.85,7,0.8,0.6,False,"['Tata Consultancy Services', 'Infosys']",The government's strategic partnerships with global tech firms signal a strong push for innovation in India's creative technology sector.,1,0.0,0.0,Normal,2026-03-18
Vedanta board to meet on this date to consider third interim dividend for FY26,"Vedanta's board will meet on March 23 to consider the third interim dividend for 2025-26. The record date for shareholder entitlement is set for March 28, 2026. The trading window will close from March 19 to March 25, 2026.&amp;nbsp;",mint - markets,"Wed, 18 Mar 2026 22:29:14 +0530",Manufacturing,positive,0.85,7,0.8,0.5,False,['Vedanta'],"Vedanta's upcoming board meeting signals potential shareholder returns, enhancing investor confidence.",1,0.0,0.58,Normal,2026-03-18
Micron Technology shares extend rally ahead of second quarter earnings,"Micron Technology is projected to report a fiscal second quarter net income of $10.1 billion on $19.6 billion in revenue, according to the average of analyst estimates",mint - markets,"Wed, 18 Mar 2026 21:35:15 +0530",IT,positive,0.85,7,0.8,0.6,False,['Micron Technology'],Micron's strong earnings forecast suggests a bullish outlook for the tech sector.,1,0.0,0.0,Normal,2026-03-18
Brent crude rebounds 9.6% from day's low to $110 on reports of attack on Iran’s South Pars gas field,"Crude oil prices rose 9% after an attack on Iran's South Pars gas field, part of the world's largest natural gas deposit. Reports suggest Israel, with US consent, targeted the site, escalating tensions and risking global energy security amid ongoing military conflict in the region.",mint - markets,"Wed, 18 Mar 2026 20:39:45 +0530",Energy,negative,0.85,7,0.2,0.8,True,"['Reliance Industries', 'ONGC']",The escalation in Iran poses significant risks to energy prices and market stability.,-1,100.0,0.0,Normal,2026-03-18
"Gold, silver rates today: Comex gold slides $171/oz; silver plunges $4.30 on hotter-than-expected US PPI","Gold and silver prices have sharply declined after a higher-than-expected US Producer Price Index and a rebound in crude oil prices. Gold fell to $4,837, while silver dropped to $76.63, marking significant monthly losses amid ongoing inflation concerns and geopolitical tensions.",mint - markets,"Wed, 18 Mar 2026 20:29:58 +0530",Other,negative,0.85,7,0.1,0.8,True,[],The sharp decline in gold and silver prices signals heightened inflation concerns and geopolitical tensions that could impact market stability.,-1,73.5,0.74,Normal,2026-03-18
"Wall Street edges lower after producer prices data, Fed rate decision in focus","As of 12:55 p.m. Eastern Time, the S&amp;amp;P 500 fell 0.6%, the Dow Jones Industrial Average was down 0.8%, and the Nasdaq Composite was 0.6% lower.",mint - markets,"Wed, 18 Mar 2026 19:18:14 +0530",Other,negative,0.85,6,0.2,0.7,False,[],Market sentiment is bearish as Wall Street reacts to economic data and upcoming Fed decisions.,-1,42.0,-0.32,Normal,2026-03-18
"GSP Crop Science IPO: Issue subscribed 1.6 times on Day 3; NII segment sees strong demand, GMP signals flat listing","GSP Crop Science's IPO closed with a subscription rate of 1.64 times, driven by institutional interest. With a total issue size of  ₹400 crore, the company aims to use proceeds for debt repayment and operational purposes.",mint - markets,"Wed, 18 Mar 2026 18:41:13 +0530",Other,positive,0.85,7,0.7,0.5,False,['GSP Crop Science'],Strong institutional demand for GSP Crop Science's IPO indicates positive market sentiment.,1,0.0,0.74,Normal,2026-03-18
Central Mine Planning &amp; Design Institute IPO: 5 key risks flagged in RHP that investors should know,"Central Mine Planning &amp;amp; Design Institute IPO is entirely an offer for sale (OFS) of 10.71 crore shares of face value of  ₹2 each. The price band for the issue has been set at  ₹163 to  ₹172 per share, which means the overall size of the OFS is about  ₹1,842.12 crore.",mint - markets,"Wed, 18 Mar 2026 18:36:54 +0530",Manufacturing,negative,0.75,6,0.2,0.5,False,['Central Mine Planning & Design Institute'],Investors should be cautious of the highlighted risks in the upcoming IPO.,-1,66.0,-1.15,Normal,2026-03-18
Investors should position for a longer Iran war. What to do now.,"The risk is that the war lasts longer than expected, and that the shipping industry takes even longer to recover. The recent weakness in financial markets could be an amuse-bouche before a bearish feast.",mint - markets,"Wed, 18 Mar 2026 18:14:58 +0530",Geopolitics,negative,0.85,7,0.2,0.7,True,[],Prepare for potential market volatility as geopolitical tensions escalate.,-1,100.0,0.71,Normal,2026-03-18
"Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher","<img align="" left"" alt=""Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/v/volatile_market1_200.jpg"" title=""Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher"" width=""75"" /> Grasim Industries, Bharti Airtel, Nestle India, Maruti Suzuki and HCL Technologies were the biggest Nifty gainers, while losers included Sun Pharma, BPCL, Reliance Industries, MM and Hindalco Industries",Moneycontrol Market Reports,"Tue, 23 Apr 2024 15:46:31 +0530",Other,neutral,0.7,5,0.5,0.4,False,[],The market's inability to sustain gains suggests cautious investor sentiment.,0,0.0,-1.37,Normal,2026-03-18
"Sensex, Nifty gain for third day in a row; easing volatility to support bull trend","<img align="" left"" alt=""Sensex, Nifty gain for third day in a row; easing volatility to support bull trend"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/S/Share-Market-New-4-4_200.jpg"" title=""Sensex, Nifty gain for third day in a row; easing volatility to support bull trend"" width=""75"" /> Analysts expect the market to maintain the bullish undertone as elections and corporate earnings season continue",Moneycontrol Market Reports,"Tue, 23 Apr 2024 14:51:26 +0530",Other,positive,0.85,7,0.8,0.6,False,[],"The sustained gains in Sensex and Nifty indicate a bullish market trend, presenting potential investment opportunities.",1,0.0,0.74,Normal,2026-03-18
"Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years","<img align="" left"" alt=""Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/N/Nifty_sensex_marketup-4_200.jpg"" title=""Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years"" width=""75"" /> Broader markets outperformed benchmarks, with the BSE Midcap and BSE Smallcap rising up to 0.9 percent",Moneycontrol Market Reports,"Tue, 23 Apr 2024 12:23:21 +0530",Other,positive,0.85,7,0.8,0.6,False,[],The significant drop in India VIX indicates a favorable environment for market growth.,1,0.0,0.74,Normal,2026-03-18
"Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action","<img align="" left"" alt=""Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/M/Market_up_200.jpg"" title=""Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action"" width=""75"" /> India VIX, which measures near-term volatility saw a sharp fall of 18 percent to trade around 10.42",Moneycontrol Market Reports,"Tue, 23 Apr 2024 09:45:50 +0530",Other,positive,0.85,7,0.8,0.6,False,[],The sustained gains in Sensex and Nifty indicate a bullish market sentiment ahead of Q4 results.,1,0.0,0.74,Normal,2026-03-18
